Назва,Стан,Категорія,Місцезнаходження,Переможець,"Номер лота","Стартова ціна","Ціна продажу"
"Шини до легкових автомобілів, різних розмірів та марок, бувші у використанні, у кількості 55 шт.","Торги не відбулися",Запчастини/аксесуари,"Закарпатська обл.",,490895,45497.43,
"Спальна кабіна торгівельної марки ISM Pony Fantasy, країна виробництва Чехія, 2016 р.в., бувша у використанні","Торги не відбулися",Запчастини/аксесуари,"Закарпатська обл.",,490898,14155.94,
"Земельна ділянка площею 0,1900 га., кадастровий номер 4623383900:10:004:0009, що розташована за адресою: Львівська область, Перемишлянський район, с. Унів","Торги не відбулися","Земельні ділянки","Львівська обл.",,490903,44370.00,
"1/2 частина трикімнатної квартири, загальною площею 84,9 кв.м., за адресою: Донецька обл., м.Краматорськ, вул. Паркова, 26, кв. 11","Торги не відбулися","Житлова нерухомість","Донецька обл.",,488319,666000.00,
"Транспортний засіб ГАЗ 53 А, 1982 року випуску, ДНЗ: ВТ9973АМ, номер кузову: б/н","Торги не відбулися","Вантажні автомобілі","Херсонська обл.",,490527,37000.00,
"Житловий будинок з прибудовою літ ""А-І, а"" заг. пл. 46,7 кв.м., та земельна ділянка площею 0,3539 га, К/Н 7124981000:03:001:0114, адреса:  Черкаська обл., Черкаський р., с. Білозір'я, вул. Данила Нарбута, 40","Торги не відбулися","Житлова нерухомість","Черкаська обл.",,490565,205000.00,
"Автомобіль MERСEDES SPRINTER 313 CDI (вантажопасажирський), номер кузову: WDB9036631R880993, днз АН3570КН, 2005 р.в., білого кольору","Торги не відбулися","Вантажні автомобілі","Харківська обл.",,490715,269100.00,
"Розчинник HEMPEL у кількості 120 л","Торги не відбулися","Будівельні матеріали","Миколаївська обл.",,490307,28368.00,
"Причіп: КРЗАП 9370 (напівпричіп бортовий), синього кольору, 1991 р.в., ДНЗ: АН6648ХТ, VIN: XU0937000M0271762","Торги не відбулися",Причепи,"Донецька обл.",,490937,26775.00,
"Екскаватор: ЕО 2621В, 1990 р.в., червоного кольору, ДНЗ: 4712ВЧ, VIN: 705750","Торги не відбулися",Спецтехніка,"Луганська обл.",,490959,23887.50,
"Екскаватор: ЮМЗ 6КЛ, 1995 р.в., червоного кольору, ДНЗ: 01574ЯА, VIN: 826019","Торги не відбулися",Спецтехніка,"Луганська обл.",,490957,23062.50,
"Вантажний автомобіль: УАЗ 39623НГ (автопасажир), 1995 р.в., білого кольору, ДНЗ: ВВ8478АЕ, VIN: 396200S0303613","Торги не відбулися","Вантажні автомобілі","Луганська обл.",,490955,10012.50,
"Екскаватор колісний: ЕО 2621, 1993 р.в., червоного кольору, ДНЗ: 13128ВВ, VIN: 797542","Торги не відбулися",Спецтехніка,"Луганська обл.",,490953,24360.00,
"Автобус: КАВЗ 685СПГ, 1984 р.в., синього кольору, ДНЗ: ВВ3264ВВ, VIN: 0773595","Торги не відбулися",Автобуси,"Луганська обл.",,490951,18270.00,
"Вантажний автомобіль: ГАЗ 5319СПГ (асенізатор), 1990 р.в., синього кольору, ДНЗ: ВВ0932АТ, VIN: 531900L1269124","Торги не відбулися","Вантажні автомобілі","Луганська обл.",,490950,13500.00,
"Вантажний автомобіль: ГАЗ 53СПГ (цистерна), 1989 р.в., синього кольору, ДНЗ: ВВ7218АН, VIN: 531200К1176971","Торги не відбулися","Вантажні автомобілі","Луганська обл.",,490947,13380.00,
"Автобус: ПАЗ 651, 1992 р.в., синього кольору, ДНЗ: 03627АР","Торги не відбулися",Автобуси,"Луганська обл.",,490944,13680.00,
"Вантажний автомобіль: ГАЗ 5312 (асенізатор), 1992 р.в., синього кольору, ДНЗ: ВВ1874ВК, VIN: ХТН330700N1448100","Торги не відбулися","Вантажні автомобілі","Луганська обл.",,490943,14250.00,
"Вантажний автомобіль: ГАЗ 5312 (фургон), 1992 р.в., синього кольору, ДНЗ: ВВ1636АІ, VIN: 531200N1391050","Торги не відбулися","Вантажні автомобілі","Луганська обл.",,490940,17100.00,
"Екскаватор: Борекс 2629, 1992 р.в., червоного кольору, ДНЗ: 01568ЯА, VIN: 787902","Торги не відбулися",Спецтехніка,"Луганська обл.",,490939,37380.00,
"Вантажний автомобіль: МАЗ 544008 060 031 (сідловий тягач), білого кольору, 2007 р.в., ДНЗ: АН1684ІН, VIN: Y3M54400870005079","Торги не відбулися","Вантажні автомобілі","Донецька обл.",,490938,134047.50,
"Добровільний продаж. Транспортний засіб марки Nissan модель PATROL, 2002 року випуску, номер кузову: JN1TESY61U0103621, ДНЗ: ВА0707АН","Торги не відбулися","Легкові автомобілі","Кіровоградська обл.",,490966,362000.00,
"Двокімнатна квартира, загальною площею 44,3 кв.м., за адресою Луганська обл., м. Лисичанськ, м. Новодружеськ, вулиця Шевченка, будинок 1, квартира 68","Торги не відбулися","Житлова нерухомість","Луганська обл.",,490298,53689.00,
"Добровільний продаж. Редукціон. Трикімнатна квартира заг. пл. 57,30 кв.м, що знаходиться за адресою: Івано-Франківська обл., м. Калуш, вул. Хіміків, буд. 40, кв.4","Торги не відбулися","Житлова нерухомість",м.Київ,,490980,418500.00,
"Добровільний продаж. Редукціон. Нежитлове приміщення загальною площею 446,1 кв.м, що знаходиться за адресою: Одеська обл., м. Подільськ (м. Котовськ), вул. Енергетиків (вул. 40 років Перемоги), буд. 1в","Торги не відбулися","Нежитлове приміщення",м.Київ,,490979,432000.00,
"Добровільний продаж. Редукціон. Приміщення магазину заг. пл. 328,6 кв. м та земельна ділянка КН:2625281801:02:003:0001 заг. пл. 0,1011 га, що знаходяться за адресою: Івано-Франківська обл., Снятинський р-н, с. Джурів, вул. І. Франка, буд. 88","Торги не відбулися","Комерційна нерухомість",м.Київ,,490987,405000.00,
"Мопед ""Benneng"", без реєстраційного номера, рік випуску невстановлений, VIN: L5YAMCJE8H1125623","Торги не відбулися",Мототранспорт,"Закарпатська обл.",,489825,21685.36,
"Добровільний продаж. Редукціон. Квартира загальною площею 63,3 кв. м, що знаходиться за адресою: м. Одеса, проспект Небесної Сотні, буд. 35, кв. 19","Торги не відбулися","Житлова нерухомість",м.Київ,,490992,700000.00,
"Земельна ділянка, К/Н 7110500000:03:003:0242, загальною площею 0.096 га, що знаходиться за адресою: Черкаська обл., м. Сміла, вулиця Космодем'янської Зої, земельна ділянка 36","Торги не відбулися","Земельні ділянки","Черкаська обл.",,490993,33243.00,
"Добровільний продаж. Редукціон. Домоволодіння (будинок), загальною площею 324,4 кв.м, що знаходиться за адресою: м.Одеса, вул. Агрономічна, буд. 177","Торги не відбулися","Житлова нерухомість",м.Київ,,490995,950000.00,
"Колоди дерев породи ""дуб"" в кількості 5 штук з розмірами: №1 довжиною 3,08 м, діаметром 50 см; №2 довжиною 3,20 м, діаметром 26 см; №3 довжиною 3,13 м, діаметром 50 см; №4 довжиною 2,47 м, діаметром 55 см.; №5 довжиною 3,10 м діаметром 55 см","Торги не відбулися",Сировина,"Львівська обл.",,490975,30927.60,
"Хімічна речовина FIRE EXTINGUISHING AGENT у кількості 200 кг","Торги не відбулися",Інше,"Миколаївська обл.",,490936,14880.00,
"Хімічна речовина SLIP COAT WR у кількості 225 л","Торги не відбулися",Інше,"Миколаївська обл.",,490965,12636.00,
"Житловий будинок, загальною площею 34,2 кв.м., та земельнеа ділянка площею 0,1573 га, кадастровий номер: 0520485600:03:003:0132, за адресою: Вінницька область, Гайсинський район, с. Флорине, вул. Бойка, буд. 24","Торги не відбулися","Житлова нерухомість","Вінницька обл.",,489795,81750.00,
"1/2 частка трикімнатної квартири загальною площею 63,60 кв. м., житловою площею 38,4 кв. м., яка знаходиться за адресою: м. Вінниця , пр-т. Космонавтів , буд. 66 , кв. 100","Торги не відбулися","Житлова нерухомість","Вінницька обл.",,491007,384429.50,
"MERCEDES-BENZ C 180, 1988 року випуску, червоного кольору, реєстраційний номер TS FD 32, номер кузова WDB2020781F531655","Торги не відбулися","Легкові автомобілі","Вінницька обл.",,491008,25927.50,
"Земельна ділянка площею 1.5632 га, кадастровий номер 0522681400:02:000:0110, що розташована за адресою: Вінницька область, Могилів-Подільський район, Броницька сільська рада","Торги не відбулися","Земельні ділянки","Вінницька обл.",,491009,98043.40,
"1/2 частина трикімнатної квартири, загальною площею 59,8 кв.м., за адресою: Кіровоградська обл., м. Знам'янка, вул. Привокзальна, буд. 18, кв. 25","Реєстрація учасників","Житлова нерухомість","Кіровоградська обл.",,492823,84039.50,
"11/100 частини нежитл. будівлі правого крила лівої частини першого поверху - пл. 175,2 кв.м. та частина підвалу - пл. 99,4 кв.м. лівого крила, заг.пл. всієї будівлі 2468,4 кв.м., за адресою: Чернігівська обл., м. Новгород-Сіверський, вул. Губернська, 8","Реєстрація учасників","Нежитлове приміщення","Сумська обл.",,492824,346375.00,
"Іпотека. Житловий будинок з надвірними будівлями та спорудами  заг. пл. 54,1 кв.м., та земельна ділянка, пл. 0,25 га, к.н. 0724582904:01:001:0007, за адресою: Волинська обл., Рожищенський р., с. Тростянка, вул. Центральна, 49","Реєстрація учасників","Житлова нерухомість","Волинська обл.",,492733,226641.00,
"Іпотека. Житловий будинок з надвірними будівлями, заг. пл. 62,8 кв.м, житл. - 47,0 кв. м та земельна ділянка, пл. 0,12 га, к.н. 0722880700:04:001:0225, за адресою: Волинська обл., Луцький р., с. Рованці, вул. Лугова, 5","Реєстрація учасників","Житлова нерухомість","Волинська обл.",,492587,635992.00,
"Ксерокс, в загальній кількості 3 шт.","Реєстрація учасників",Оргтехніка,"Івано-Франківська обл.",,492825,425.00,
"Автомобіль MERСEDES SPRINTER 313 CDI (вантажопасажирський), номер кузову: WDB9036631R880993, днз АН3570КН, 2005 р.в., білого кольору","Реєстрація учасників","Вантажні автомобілі","Харківська обл.",,492826,201825.00,
